,t_loc,t_scale,t_df
000001.SZ,-0.00038395260649086254,0.01285810954371332,2.6782553094080335
000002.SZ,-0.0006210203005407157,0.01408634744068837,2.7409243925670532
000063.SZ,7.293626453652719e-05,0.01829510468980656,3.022371273424792
000066.SZ,-0.0005173956775730197,0.0173380551182667,2.541594549667709
000069.SZ,0.00012518471274931733,0.015840677497311564,3.385459483787173
000100.SZ,-0.00023527239046927477,0.014555211773159896,2.4484058969486795
000157.SZ,-4.277501183956787e-05,0.013660077623805458,2.5705198350854355
000338.SZ,0.00027170343619920955,0.017185830954812187,3.737040816007288
000425.SZ,-0.00017411399889450204,0.015528377084913274,2.847344115019661
000538.SZ,-0.000161158650285403,0.013169759130206089,3.217577319073454
000568.SZ,0.0007067168337575353,0.017889333037742552,4.012721767376037
000596.SZ,0.000271096321250183,0.02069926083945394,3.8065764278044467
000625.SZ,-0.00019480130414016795,0.016719998519131182,2.8932263329650247
000627.SZ,-0.0003026322351920433,0.01451298139981603,2.3129883820042068
000651.SZ,5.044330697069369e-05,0.015293791796046355,3.3473100630435217
000656.SZ,-0.0002291321768314381,0.019394122711111097,3.4622673763928553
000661.SZ,0.0010855696038881784,0.019700786597124674,3.5914031993928655
000671.SZ,-0.0006639304787903889,0.019210711412944843,2.9990472688395062
000703.SZ,0.0007737016727462731,0.01876591912991059,3.0635971179864994
000708.SZ,0.0005186113366903,0.015602216758243696,3.210880467204006
000723.SZ,0.00018522539460554205,0.01620544414530469,2.0706372437684557
000725.SZ,-0.000262211430357326,0.015598125063030332,3.0033699713775395
000728.SZ,-0.0004450311527212711,0.016360127692629022,2.6801067976984863
000768.SZ,0.0003096361706151335,0.017529888198677457,2.8613585671029664
000776.SZ,-0.0007973345783588246,0.015454465244280704,2.5524967271094856
000783.SZ,-0.000794377234636507,0.015397691084465042,2.518721146904318
000786.SZ,0.00030637467393573403,0.017828394369947823,3.5512710843910944
000858.SZ,0.0005485710164825632,0.01605151729322166,3.9783807550470094
000860.SZ,0.0004903692858027463,0.018863943478337555,3.5503079929550454
000876.SZ,-0.00011658147230069182,0.014053004023032958,2.3027737387808176
000895.SZ,0.0001312608024774683,0.013790947735232616,2.9974665656631347
000938.SZ,0.0006043114315689605,0.01884947519593279,2.533826657918648
000961.SZ,1.645421592394082e-05,0.021136048555112516,3.5997705030096787
000963.SZ,0.0001741689471980922,0.017520864082756916,4.184065037800984
000977.SZ,0.0007534563060267755,0.022683261775148622,3.2368052380682615
002001.SZ,0.00040988396189720413,0.01809575134873444,3.568483268498607
002007.SZ,0.000633683240405925,0.01699965540193635,3.30119139591107
002008.SZ,0.0007768260743689465,0.02323749740167728,4.524804987644922
002024.SZ,-0.00044166490813174654,0.015727892843221854,2.6959287452878975
002027.SZ,0.0001429883761154118,0.01959500998800933,3.1080344127194937
002032.SZ,8.623992017476145e-05,0.017280560589042086,3.849463540956892
002044.SZ,9.527326848345996e-05,0.014290792251057269,2.1202747365002823
002049.SZ,0.0007347931601095374,0.020785013511490133,2.7333065510290084
002050.SZ,0.0005927642505572453,0.018538914290510446,3.3589059119570166
002120.SZ,0.000588987226267114,0.020381233666927068,3.2199516540595554
002129.SZ,0.0003903354231580734,0.016126922409658982,1.9506087628012163
002142.SZ,3.337417442499195e-05,0.01470648107425809,3.457612947065313
002146.SZ,0.00020192326192038665,0.01927562558147703,3.206050352946634
002153.SZ,-0.0007526582477349417,0.019165301239148492,2.4692698447067927
002157.SZ,-0.00021469017828478095,0.020994341735369397,2.973294573558478
002179.SZ,0.0010089052353724997,0.019175631366816267,3.3257549055922055
002202.SZ,-0.00026190156362334205,0.018564188301513254,3.33711630361936
002230.SZ,0.000448879113122726,0.02109099661956156,3.3441770821873957
002236.SZ,0.000798067277552105,0.02146143242664468,4.548328151797536
002241.SZ,0.0007092668445307453,0.022307504910329345,4.4183323381130295
002252.SZ,-0.0001926443748411546,0.00923247429625901,1.4766402771617777
002271.SZ,0.0008897780499657994,0.02171416035136716,4.143774023390902
002304.SZ,0.00029163702633101503,0.018220744966916835,4.0566411690769755
002311.SZ,0.0005580978330576409,0.016613934035619046,3.691890403375647
002352.SZ,0.0003030042985323479,0.016696506242886766,2.60113356974833
002371.SZ,0.0006620798264950347,0.021987982768863927,3.1079163525746116
002384.SZ,-7.485468910603199e-05,0.0214072823990264,3.378290444752031
002410.SZ,0.00098162711500669,0.021869923190098416,4.066219235260283
002414.SZ,0.0007656791626938617,0.020095457469493233,3.3597868631661
002415.SZ,0.0009183501783858147,0.019092186840171364,4.503351947977528
002422.SZ,0.0003465041816291584,0.018288850791309805,4.635104516817087
002456.SZ,0.0007345051988341142,0.02416415904848626,3.9356546810025756
002460.SZ,0.0007194397863626186,0.024214744294625595,3.3481879082071577
002463.SZ,1.3273257314856699e-06,0.017615738031042657,2.7082126065977263
002475.SZ,0.001084562884780735,0.022200900334761867,4.665834871373711
002493.SZ,0.0003746201122657208,0.017003695339498408,2.670891870034703
002508.SZ,0.00044046185794275564,0.019199604755253903,4.538405396831552
300003.SZ,0.0006566316107094277,0.01901859384648915,3.4654953834699986
300014.SZ,0.0010317916140743866,0.02550282431442174,3.6553144104954027
300015.SZ,0.000983386073561506,0.019148558313494206,3.7653827306203596
300033.SZ,-0.00041878545374007646,0.022902706719148572,2.722603022474687
300059.SZ,0.00021188624090267433,0.022976911362396428,2.946994775644808
300122.SZ,0.0011929312294446485,0.018736209808035358,2.6665710536904212
300124.SZ,0.0013737289769696344,0.021587060795751258,4.217907053529398
300136.SZ,0.0010972298377672014,0.024878038313755277,3.6395521325409597
300142.SZ,0.0006070872899437741,0.01597974316450198,2.5444387755707654
300144.SZ,3.068839706794657e-05,0.017268004936228567,3.0383188810565698
600000.SH,-0.00030098918603956774,0.009676642549606502,2.441494462634452
600004.SH,0.00042439507754368343,0.013284039426729882,2.959428556693564
600009.SH,0.0001921822424766367,0.013798650701319255,3.0246812592554013
600010.SH,-0.0006940907138366828,0.01362513594865484,2.1837718853535453
600011.SH,-0.0004024698589765442,0.012511851069889515,2.756859607366833
600015.SH,-0.00028549667584658426,0.010194453448274172,2.502703731278861
600016.SH,-0.000271608008192238,0.008445678944921549,2.1844539524743922
600018.SH,-0.0002969076762268741,0.011245546391883497,2.2042980082089447
600019.SH,-0.0001730981887535171,0.011335665334790489,2.3335298973059975
600027.SH,-0.0005087979470495172,0.012413141776359427,2.667542596919863
600028.SH,-0.0002487068182842453,0.009795162644606663,2.7981033341014045
600029.SH,-0.0003835468854026778,0.015942718927556616,2.7814246395791864
600030.SH,-0.0006550608693545801,0.014018261419452699,2.4471674075078056
600031.SH,0.0001383591094488383,0.01635857494211139,3.0973505660253764
600036.SH,-0.00015299471765079867,0.012169037719697361,3.3741080125419396
600048.SH,3.1494894865054714e-06,0.017874641226115345,3.5445981833203684
600050.SH,-0.0008639370830825438,0.012161171725800689,2.4471944618397785
600061.SH,-0.00012359512428804378,0.0160479224743939,2.1795778769493843
600066.SH,0.00023255845970690363,0.01622941691179261,3.9896894473257163
600068.SH,-0.0003674080145688325,0.014537144045828817,2.666239781395095
600085.SH,-6.508621070970628e-05,0.013842531787224067,2.8059087584133104
600104.SH,0.00010161445510776092,0.015205756370550425,3.5814979677503875
600109.SH,-0.00040448427962984476,0.017713802844947307,2.6437808562546694
600111.SH,-0.0004344519358321464,0.018381718230450088,2.7888850447613702
600115.SH,-0.0007243111854220077,0.015170263566104698,2.5716848123366045
600118.SH,0.00048341087988203614,0.017401026869708278,2.57146411603971
600150.SH,-9.794352615350284e-05,0.01759303469409295,2.806826204498332
600161.SH,0.0006465788624841126,0.01754716155532686,2.962180318691738
600176.SH,0.0004944854012106648,0.018776496858100594,3.1632410386306526
600177.SH,1.442540390697338e-05,0.01108941065142112,2.315252046106425
600183.SH,0.0010437011523981448,0.019653888883707026,3.8004247308686177
600196.SH,0.0005019785003066262,0.017515152833761177,3.5681337547270404
600208.SH,-0.0005602078963362416,0.014972785962270209,2.501633635068327
600233.SH,-0.0004048167710431534,0.01777760675749163,2.698964699600687
600271.SH,-0.00015458036110761026,0.01606899388548564,2.7559284802604718
600276.SH,0.0009416947640431869,0.015736479463457125,4.387718955508817
600297.SH,-0.0003114152619828147,0.015893406927849626,2.572306519492612
600299.SH,0.00014078363363636805,0.016961174049058447,2.7648362933855397
600309.SH,0.0008635836123644798,0.018004535713392646,4.018019105897188
600332.SH,-0.0007191224180183322,0.016103920063931167,2.438813131651111
600340.SH,0.0003117893257018559,0.018430216670710244,3.122491009436981
600346.SH,0.001074904506225917,0.01660196370700686,2.5496702343699154
600352.SH,-5.714251222531134e-05,0.01739365850230188,3.0990202212406164
600362.SH,-0.00042924888823574816,0.016870072638222888,3.0380527998680584
600369.SH,-0.0001709501398337385,0.01345182862172789,2.2350854534006617
600383.SH,-8.682031317217088e-05,0.01688512042963223,3.1644534969088918
600390.SH,0.0003657943807227191,0.01789944304022202,2.5177384384556287
600406.SH,0.0005457020424383323,0.01559134149905398,2.7416712837499864
600436.SH,0.0005035042688379667,0.015682194513834274,2.886145061193905
600438.SH,0.000327557686833501,0.019184313547984416,2.8993189873164456
600482.SH,0.0008603566200730151,0.016524509558494736,2.8217314090744416
600487.SH,0.0007745675991586549,0.01836174728763631,3.0969702644772656
600489.SH,-0.0005086044051442885,0.015469539342219448,2.9783749469804084
600498.SH,0.00037198341026226805,0.020045006755918204,3.6672608274575156
600519.SH,0.0007907968671329339,0.014622396358049669,4.2606766006811885
600522.SH,0.0004493197183055448,0.01755162513149392,3.3086487923186096
600547.SH,-0.00023182046889716143,0.015474328818656584,2.6685047213817983
600570.SH,0.00037016235348208025,0.020964903495520562,3.045813805469288
600584.SH,6.847959427344802e-05,0.020658906426309027,3.053505742552765
600585.SH,0.000550669387933182,0.0171260607809679,4.156965425057549
600588.SH,0.0004471194693480213,0.021839044738576865,3.206851201906587
600600.SH,-6.991287030951787e-05,0.013634332833084078,3.2782482601634846
600606.SH,-0.0005300489269268081,0.011809390910219602,1.6847121877811033
600637.SH,0.00013880924762184603,0.012697399367758006,1.8974446804512182
600655.SH,-0.0003336461816397366,0.01329413469386713,2.3113768517427884
600660.SH,0.00020160022209175473,0.014709146752187378,3.815132392821006
600690.SH,0.00022478572188346538,0.016703441629800597,3.809928942015766
600703.SH,0.000279744444935428,0.021831423277248088,3.6371416922199726
600741.SH,0.0005397025842012159,0.016783119856171758,3.7929761993223727
600745.SH,0.0004036214118455704,0.015110879246692733,1.7266882272998032
600760.SH,0.0010224256820730846,0.02011113112198386,2.568945881146119
600763.SH,0.0009095865463778824,0.016972840955844046,2.804285394840293
600795.SH,-0.0003670396318277029,0.008973571431976784,2.2904174258092143
600809.SH,0.0011127934978216324,0.02047590850244394,4.235249352792123
600837.SH,-0.0010165725148787506,0.01381414450463363,2.4397170447936265
600845.SH,0.0003624986119851002,0.020570441530664674,3.5572042467176725
600848.SH,0.0006948535988846786,0.016380299399001524,2.1747707196196937
600872.SH,0.0009544841108269453,0.018993689535244884,4.383259895558465
600886.SH,0.00020768606097087852,0.011681701318589869,3.2189798032086223
600887.SH,0.0007775290270861943,0.01669106004111187,3.9689469626013016
600893.SH,0.0002044914732588034,0.01650132402070824,2.4476484416832505
600900.SH,0.0001703169762794219,0.00799912630015681,3.178414511446184
600998.SH,7.309322982503958e-06,0.014350288874020949,2.6788254149857957
600999.SH,-0.0007504221957388308,0.014295195432346584,2.505046426968284
601006.SH,-0.00016677174489438713,0.009691913690224077,2.671708815645111
601009.SH,4.339498533038946e-05,0.01171500203713001,2.7994225589276507
601088.SH,-7.588035671951593e-05,0.011830736101132486,2.7634147001936284
601111.SH,-0.000599608748976588,0.01611722035953485,2.912275490575814
601117.SH,6.6841667175814e-06,0.016286145676113375,3.299837414906625
601166.SH,-0.0003711471433954206,0.01093262493477578,2.4880370317619844
601169.SH,-0.0002392187991715542,0.008972878399185098,2.3067873180399103
601186.SH,-0.000881820959760286,0.011854294110084748,2.1853460581583835
601288.SH,-2.614033570200289e-05,0.00689497340960241,2.3866415910242074
601318.SH,2.5010610503885716e-05,0.013433865045796831,3.3044050273182375
601328.SH,-0.0002757560528425406,0.007675804356754586,2.216038721685333
601377.SH,-0.00098710670401358,0.015321809322567975,2.346583912331228
601390.SH,-0.0008468492913545381,0.010064506061398488,1.9769754981023437
601398.SH,-0.00010002804763773074,0.007495933087494207,2.604385888361035
601600.SH,-0.0007325264821463953,0.014079343241415774,2.4131029545394
601601.SH,5.211132392533221e-05,0.01629555765430893,4.085261454267682
601607.SH,0.0002832138048872792,0.015167741235423329,3.4404919590209277
601618.SH,-0.000868718114763987,0.009872509556352166,1.9591163103325067
601628.SH,-0.0007491200211569147,0.014406304043090741,3.0349077459383182
601668.SH,-0.0007148966926534466,0.01091255714003766,2.389882235583494
601688.SH,-0.0009883849104493927,0.015703941011482495,2.6550155021995248
601727.SH,-0.00024587363317327945,0.011283249134236525,1.9663298485003273
601766.SH,-0.0011793067961248336,0.010990535384426594,2.043585201252375
601788.SH,-0.0007989742243320632,0.014719804699947547,2.2555841983515386
601808.SH,-3.047535882961638e-05,0.016547379998048554,2.938223709770094
601818.SH,-0.0005883852088126373,0.009045371189297494,2.201514726817687
601857.SH,-0.0004021897790870188,0.007251807868435101,2.2121125215604804
601872.SH,-0.0005396178635625112,0.013017539859941005,2.143532619903619
601877.SH,-6.221145459340174e-05,0.014784556932172729,3.26666790508653
601888.SH,0.001042803478802886,0.01742213228869295,3.198490926978775
601899.SH,-0.0007027182095469553,0.013556068000553692,2.4860952161131733
601919.SH,-0.0006860075195507436,0.014840581247729173,2.4717084872883364
601933.SH,-0.00041177070891251235,0.014667249567242469,2.8488030138273217
601939.SH,-1.8442572946178352e-05,0.008233136358229233,2.453468533462636
601988.SH,-0.00019721504997678013,0.00654039857239857,2.2034541733062483
601989.SH,-0.0006294532528587483,0.011678984635512712,1.906284891823855
601998.SH,-0.00069341727049852,0.010705264440080037,2.4133804761828253
